case_id,year,paper_code,paper_id,title,problem_types,models,validation_methods,core_problem,data_features,card_path,source_pdf
case-046,2018,B217,1699832,基于多原则比较和蒙特卡洛模拟的RGV动态调度模型,优化 | 调度 | 仿真,0-1规划 | 就近调度 | FIFO | HRRN | 蒙特卡洛搜索,三种规则横向比较 | 256种布局遍历 | 蒙特卡洛再搜索 | 故障情景对比,把复杂制造时序写成一般化规划约束，再用就近、先到先服务和高响应比三种在线规则以及随机搜索，寻找单/双工序RGV调度方案。,8台CNC与1辆RGV构成小型离散事件系统，只有3组确定作业参数；双工序另含256种二元刀具布局，故障通过人为随机变量注入。,cases/case-046.md,2018/B217_2018年全国大学生数学建模竞赛论文展示(B217)_[1699832].pdf
case-047,2018,B334,1699829,RGV的动态调度优化问题,优化 | 调度 | 仿真,状态转移图 | 多阶段决策 | 平衡分配 | 随机故障仿真,理论产能上界比较 | 三组参数测试 | 故障前后偏差率 | 程序结果复核,把RGV—CNC制造过程抽象为事件状态转移，在每个决策时刻选择下一台机床，并让双工序前后段产能尽量平衡。,8台机床、4个物理位置、1辆RGV、有限班次；加工和运输时间确定，机床故障随机。状态维度虽小，但完整服务序列呈指数增长。,cases/case-047.md,2018/B334_2018年全国大学生数学建模竞赛论文展示(B334)_[1699829].pdf
case-048,2018,C008,1699824,基于RFMT模型的百货商场会员画像描绘,评价 | 聚类 | 回归 | 关联分析,RFMT | AHP | K-Means | 因子分析 | 线性回归 | 关联规则,AHP一致性检验 | 聚类中心解释 | 回归拟合 | 模型局限分析,把多表交易数据转化为会员价值、生命周期状态、非活跃会员激活概率和商品连带促销建议，形成从画像到营销行动的完整链路。,会员、销售流水、会员消费明细、商品和数据字典五张异构表；消费金额与频次长尾、会员状态随时间变化，促销—激活样本时间点较少且存在强混杂。,cases/case-048.md,2018/C008_2018年全国大学生数学建模竞赛论文展示(C008)_[1699824].pdf
case-049,2018,C052,1699836,基于RFMS指标的大型百货商场会员画像数据挖掘,评价 | 时间窗口分析 | 回归 | 关联分析,FMS评分 | RF状态模型 | 滑动时间窗口 | 线性回归 | 交叉连带率,随机样本人工核验 | 窗口间趋势比较 | 回归显著性检查 | 会员与非会员对照,用透明的行为评分刻画会员购买力，以滑动窗口追踪消费状态，再评估非活跃会员激活与促销活动的关系并设计连带促销。,清洗后约39.27万条本地会员消费记录、4.394万条会员信息；行为分布长尾，窗口级促销—激活配对仅有少量时间点。,cases/case-049.md,2018/C052_2018年全国大学生数学建模竞赛论文展示(C052)_[1699836].pdf
case-050,2018,C101,1699825,大型百货商场会员画像描述,聚类 | 状态转移 | 关联分析 | 描述统计,K-Means | 规则生命周期 | 马尔可夫转移矩阵 | 多项式回归 | FP-Growth,类内类间距离比 | 聚类中心解释 | 相关系数与R2 | 支持度和置信度,从会员交易数据识别购买力层级和生命周期状态，估计月度活跃迁移，并挖掘商品共购规则以支持精准营销。,交易与会员表需数据库聚合；购买力长尾、钻石会员仅17人；生命周期按人工阈值划分，促销分析只有12个月聚合点且会员/非会员观察期不一致。,cases/case-050.md,2018/C101_2018年全国大学生数学建模竞赛论文展示(C101)_[1699825].pdf
case-051,2018,D014,1699828,汽车总装线配置方案,排序 | 多约束调度 | 启发式优化,分层优先规则 | 构造式启发算法 | 局部微调,七日数据复算 | 人工可行性检查 | 属性计数核对,在品牌、喷涂线、颜色、驱动、动力和配置的多重工艺要求下，构造每日460辆汽车的可执行装配顺序并尽量减少切换。,七天确定性生产计划；每辆车有5类属性，两条喷涂线按序号交替分流；黑色占比大且换色代价高，四驱/柴油等有成组和间隔要求。,cases/case-051.md,2018/D014_2018年全国大学生数学建模竞赛论文展示(D014)_[1699828].pdf
case-052,2018,D027,1699827,汽车总装线配置的优化模型研究,整数优化 | 图论 | 路径搜索 | 生产排序,0-1规划 | 有向图 | TSP遗传算法 | 广度优先搜索 | 分解启发式,Excel联动校验 | 全路径成本复算 | 特殊喷涂线约束检查 | 七日结果核对,将460辆汽车的巨型多属性排序分解为关键属性位置优化、人工确定大块结构和小规模残余有向图精确枚举，并输出可核验排程。,每天460辆、5类属性、相邻切换成本与长度为3/6/11的局部窗口约束；全排列不可解，但人工/优化预填后残余通常约15个顶点。,cases/case-052.md,2018/D027_2018年全国大学生数学建模竞赛论文展示(D027)_[1699827].pdf
case-053,2018,D029,1699826,确定汽车装配顺序问题的算法,多目标优化 | 生产排序 | 启发式算法 | 敏感性分析,序贯多目标规划 | 黑车分组优化 | 构造式排序 | AHP式成本量化,七日实例 | 成本分项计算 | 黑白车数量扰动 | 趋势对比,把品牌、颜色、驱动、动力和配置的冲突目标按优先级拆成串行子问题，构造满足工艺约束且成本较低的七日汽车装配序列。,每日460辆、两班各230辆；黑车约251～269辆占多数，蓝/金等颜色稀少；约束包含连续组长度、批次间隔、喷涂线可用性与邻接切换。,cases/case-053.md,2018/D029_2018年全国大学生数学建模竞赛论文展示(D029)_[1699826].pdf
case-054,2019,B136,1699855,齐心舞动“同心鼓”，齐力牵起“协力绳”,机理/动力学 | 优化 | 仿真,碰撞守恒模型 | 二阶常系数微分方程 | 欧拉刚体旋转 | 多目标规划 | 模拟退火,九工况仿真 | 小角度近似误差论证 | 现实可行性分析,建立鼓—球碰撞与鼓体平动/转动模型，求低能耗协作节奏，并在发力偏差和球偏移时优化拉力、时机与站位。,8人以上对称拉绳的多体力学系统；控制存在力度、时机和位置偏差，输出含高度、速度、倾角和团队能耗。,cases/case-054.md,2019/B136_2019全国大学生数学建模竞赛论文展示(B136)_[1699855].pdf
case-055,2019,C044,1699856,机场的出租车问题,决策 | 排队仿真 | 优化,0-1收益决策 | 队列模拟曲线拟合 | 泊位数优化 | 收益平衡阈值,实际情形对照 | 控制变量依赖分析 | 目标函数偏导,从司机收益与机场效率两侧决定是否排队、配置多少上客泊位，并以收益平衡设计短途车优先规则。,人车流随时段变化，等待时间需由队列模拟估计；司机决策受队列长度、市区距离和单位时间收入共同影响。,cases/case-055.md,2019/C044_2019全国大学生数学建模竞赛论文展示(C044)_[1699856].pdf
case-056,2019,C137,1699857,基于系统模拟的机场出租车决策与安排模型,决策 | 离散事件仿真 | 多目标优化,收益最大化决策 | 乘车区系统模拟 | 单目标泊位优化 | 双目标优先排队,生活实际对比 | 仿真截止时间稳定性 | 权重敏感性,预测司机等待/返城选择，通过系统模拟配置上车点，并按空载率与收益差最小确定短途车插队位置。,航班动态、节假日/工作日和忙闲期分层；排队、乘客与车辆过程具有随机性和截止时间效应。,cases/case-056.md,2019/C137_2019全国大学生数学建模竞赛论文展示(C137)_[1699857].pdf
case-057,2019,C308,1699858,机场出租车司机综合决策及机场出租车管理模型,预测 | 排队决策 | 优化 | 蒙特卡洛,生灭过程排队模型 | 净收益决策 | 队列平衡曲线 | 泊位效率优化 | 优先插队模型,灵敏度分析 | 加噪声鲁棒性 | 准确率 | 蒙特卡洛重复模拟,预测机场人车流并给司机动态决策，设计高效率矩阵泊位及收益均衡的短途车优先位置。,航班、天气和时间驱动乘客到达；出租车队列为随机生灭过程，管理方案需模拟吞吐量。,cases/case-057.md,2019/C308_2019全国大学生数学建模竞赛论文展示(C308)_[1699858].pdf
case-058,2019,D001,1699860,空气质量数据的校准,数据分析 | 回归 | 校准,时间对齐 | 灰色关联分析 | 多元线性回归 | 分段线性插值,回归显著性 | R² | 校准前后残差对比,对齐国控点与高频自建点数据，识别污染物/气象因素导致的测量差异，并把稀疏可靠基准扩展为全时段校准值。,国控点4137条、自建点197341条，时间粒度不一致；六污染物与五气象因素共11个候选影响量，存在缺口、相关和交叉干扰。,cases/case-058.md,2019/D001_2019全国大学生数学建模竞赛论文展示(D001)_[1699860].pdf
case-059,2019,D005,1699861,空气质量数据的校准,数据分析 | 关联分析 | 预测校准,三次样条插值 | 灰色关联 | 加权平均校准 | RBF神经网络 | 逐步多元回归,多模型并行比较 | 分布统计 | 关联度阈值,清洗并对齐两类监测站数据，分析气象因素与测量误差关联，再比较加权、神经网络和回归校准路线。,六污染物时间序列含异常、重复和不同时间戳；气象变量与误差可能非线性相关。,cases/case-059.md,2019/D005_2019全国大学生数学建模竞赛论文展示(D005)_[1699861].pdf
case-060,2019,D013,1699862,空气质量监测数据校准模型研究,数据分析 | 回归 | 传感器校准,小时均值零点漂移 | 日标准差量程漂移 | 多元回归 | 仿射归一校准,绝对误差 | 相对误差 | 校准前后图形对照,区分自建传感器的零点、量程、交叉污染物和气象误差，并依据国控点的零点与量程进行校准。,六污染物与气象序列含异常；误差既有加性漂移，也有尺度漂移和多变量交叉影响。,cases/case-060.md,2019/D013_2019全国大学生数学建模竞赛论文展示(D013)_[1699862].pdf
case-061,2019,E026,1699443,“薄利多销”分析,数据分析 | 回归 | 分组比较,营业额与利润率核算 | 折扣率指标 | 分阶段回归 | 分品类回归,总体与分阶段对照 | 分品类对照 | 优化筛选样本复核,从零售流水还原日营业额、利润率和折扣力度，检验降价是否带来销量增长及其在不同品类中的适用边界。,两年多逐笔销售记录含无效数据与部分成本价缺失；总体关系存在阶段和品类异质性。,cases/case-061.md,2019/E026_2019全国大学生数学建模竞赛论文展示(E026)_[1699443].pdf
case-062,2019,E038,1613991,基于打折力度概念的“薄利多销”模型,数据处理 | 鲁棒回归 | 异质性分析,打折力度复合指标 | 迭代加权最小二乘 | 需求价格弹性分析,鲁棒权重迭代 | 分品类对照 | 数据补全比例审计,从大规模销售流水补全成本并构造折扣力度，稳健估计其与营业额、利润率的关系及不同品类的价格弹性差异。,2016-11-30至2019-01-02流水，783524条成本缺失；异常值、商品类别异质性和人为补全不确定性显著。,cases/case-062.md,2019/E038_2019全国大学生数学建模竞赛论文展示(E038)_[1613991].pdf
case-063,2020,A070,1609388,基于热传导与牛顿冷却定律的回焊炉炉温曲线优化,机理/动力学 | 参数估计 | 单目标优化 | 多目标优化,热传导方程 | 牛顿冷却模型 | 分段参数最小二乘 | 有限差分 | 二分法 | 模拟退火,候选机理拟合误差比较 | RMSE | MAE | 误差分析 | 结果检验,由实测炉温识别分温区传热参数，在制程界限下最大化速度、最小化高温面积并兼顾曲线对称性。,炉区设定温度分段，电路板温度连续；实验曲线用于参数反演，决策变量含速度和四组温区温度。,cases/case-063.md,2020/A070_2020全国大学生数学建模竞赛论文展示(A070)_[1609388].pdf
case-064,2020,A147,1609389,基于一维热传递与混合启发式搜索的回焊炉优化,机理/动力学 | 参数估计 | 优化,一维热传导 | 牛顿冷却 | 有限差分 | 网格遍历 | 爬山算法 | A星搜索,实测曲线最小二乘拟合 | 制程约束可行性检查 | 模型讨论,识别回焊炉一维传热参数，并在制程约束下用离散搜索优化速度、温区设定、高温面积与对称性。,四个待估参数、分段炉温边界与一条实测曲线；决策空间经温度和速度步长离散。,cases/case-064.md,2020/A147_2020全国大学生数学建模竞赛论文展示(A147)_[1609389].pdf
case-065,2020,A195,1609391,基于分层序列遗传算法的回焊炉温曲线优化,机理/动力学 | 参数估计 | 多目标优化,一维均匀介质热传导 | 有限差分 | 分段参数拟合 | 遗传算法 | 分层序列法,多次独立求解 | 算法参数调整 | 制程可行性检查,建立可辨识的一维传热模型，逐步搜索最大可行速度，并用接力式遗传优化处理面积与对称性的层级目标。,区间空气温度近似线性；热传导参数部分共享、扩散系数分温区；启发式输出有随机性。,cases/case-065.md,2020/A195_2020全国大学生数学建模竞赛论文展示(A195)_[1609391].pdf
case-066,2020,A212,1609392,基于分区热时间常数的回焊炉温曲线优化,机理/动力学 | 非线性规划 | 多目标优化,稳态传热 | 能量守恒微分方程 | 牛顿冷却 | 最小二乘 | 多重搜索 | 模拟退火,实测曲线拟合 | 约束边界核验 | 迭代收敛结果,分区拟合升温/降温机理，在全部制程约束下搜索最大速度，并优化高温面积和左右对称性。,炉内稳态空间温度与移动电路板瞬态温度耦合；不同区域热时间常数不同。,cases/case-066.md,2020/A212_2020全国大学生数学建模竞赛论文展示(A212)_[1609392].pdf
case-067,2020,B078,1609502,基于最优化、决策函数与博弈论的穿越沙漠策略,动态优化 | 随机决策 | 博弈,资源状态递推 | 贪心与回溯 | 期望收益决策 | 蒙特卡洛 | 支付矩阵,灵敏度分析 | 蒙特卡洛仿真 | 多算法/软件求解,在负重、天气、补给、挖矿和期限约束下最大化终点资金，并扩展到随机天气与多人竞争策略。,离散图路径、日级天气状态、水食物双资源和资金耦合；多人时节点收益相互依赖。,cases/case-067.md,2020/B078_2020全国大学生数学建模竞赛论文展示(B078)_[1609502].pdf
case-068,2020,B108,1609501,基于图动态规划、随机模拟与静态博弈的穿越沙漠策略,动态规划 | 随机仿真 | 博弈,图动态规划 | 天气情景穷举 | 抽样统计 | 随机模拟 | 静态博弈,穷举天气基准 | 随机模拟对比 | 失败概率 | 灵敏度分析,以可优化的图动态规划求确定关卡，再从大量最优解提炼随机天气规则，并用博弈模型处理多人竞争。,状态空间由位置、时间、物资、资金和天气组成；随机关卡情景数快速增长，需抽样与复杂度优化。,cases/case-068.md,2020/B108_2020全国大学生数学建模竞赛论文展示(B108)_[1609501].pdf
case-069,2020,B125,1609503,基于动态规划、马尔可夫链与势函数的穿越沙漠策略,动态规划 | 随机预测 | 博弈,Floyd最短路预筛 | 状态动态规划 | 马尔可夫天气链 | 人工势函数 | 完全信息静态博弈,情景模拟 | 关卡结果复核 | 合理性分析,以状态动态规划优化确定关卡，用天气马尔可夫链生成随机关卡期望策略，并以势函数和占优关系扩展多人决策。,地图图结构、资金/水/食物/天数状态和天气序列共同决定转移；多人到达会改变节点收益。,cases/case-069.md,2020/B125_2020全国大学生数学建模竞赛论文展示(B125)_[1609503].pdf
case-070,2020,C109,1699929,基于梯度提升决策树与多目标规划的中小微企业信贷决策,分类预测 | 风险评估 | 多目标优化,正则化梯度提升树 | 集成学习 | 非线性多目标规划 | 行业冲击分层,准确率 | 决策树与BP基线对比 | 宏微观证据对照 | 情景前后收益比较,从票据提取经营特征预测违约，再在收益、风险和客户流失之间优化放贷、额度与利率，并按疫情行业冲击调整。,123家有标记企业和302家无信贷记录企业；交易票据可构造经营指标，突发事件含行业与企业两层信号。,cases/case-070.md,2020/C109_2020全国大学生数学建模竞赛论文展示(C109)_[1699929].pdf
case-071,2020,C170,1699930,基于综合评价、RAROC与突发事件因子的信贷决策,综合评价 | 分类预测 | 优化,熵权TOPSIS | RAROC | 违约金字塔 | Logit回归 | BP神经网络 | 突发事件因子,Logit准确率 | 情景前后策略对比 | 多来源行业数据核对,以四维指标体系量化信贷风险，用风险调整收益优化放贷，并通过违约/评级预测和事件因子扩展到无记录企业与疫情情景。,11项指标覆盖实力、供求稳定、偿还与信誉；第二问标签缺失，第三问加入行业突发冲击。,cases/case-071.md,2020/C170_2020全国大学生数学建模竞赛论文展示(C170)_[1699930].pdf
case-072,2020,C227,1699932,基于Soft Voting、XGBoost与系统聚类的信贷决策,集成分类 | 多分类 | 聚类 | 多目标优化,Soft Voting | Logistic | AdaBoost | GBDT | SVM | 随机森林 | XGBoost | 系统聚类,准确率 | ROC-AUC | 基分类器集成 | 情景聚类解释,从20项经营特征集成预测违约，用XGBoost迁移信誉评级，并通过疫情风险聚类乘数调整贷款多目标规划。,有标签与无信贷记录两组企业；20个常规风险特征和5个疫情冲击特征，输出含二分类概率、多分类评级和连续贷款决策。,cases/case-072.md,2020/C227_2020全国大学生数学建模竞赛论文展示(C227)_[1699932].pdf
case-073,2020,C305,1699934,基于Logistic守约率与多目标规划的中小微企业信贷决策,概率预测 | 多目标优化 | 情景分析,Logistic回归 | 守约率映射 | 多目标决策 | 相似规律补全 | 行业事件调整,问题嵌套一致性 | 情景前后策略比较 | 模型优缺点评价,将信贷风险转成客户守约概率，再以风险与利润双目标分配额度和利率，并将同一框架推广到缺失信用与疫情情景。,企业票据与信用标签；302家企业缺部分信用数据，事件情景需按行业/类型修改指标。,cases/case-073.md,2020/C305_2020全国大学生数学建模竞赛论文展示(C305)_[1699934].pdf
case-074,2020,D008,1699935,接触式轮廓测量仪的数据校正与工件轮廓重建,曲线拟合 | 几何校准 | 多次测量融合,分段函数拟合 | 直线交点几何 | 多线段角度平均 | 特征点配准 | 多曲线融合,水平基准对照 | 多线段角度平均 | 校正前后参数差异,从接触式测量序列重建工件轮廓参数，估计并校正平移/倾斜误差，再融合九次曲线得到标准轮廓。,轮廓由多段直线、圆和角构成；10次/9组测量存在刚性位姿偏差和局部噪声。,cases/case-074.md,2020/D008_2020全国大学生数学建模竞赛论文展示(D008)_[1699935].pdf
case-075,2020,E040,1699936,基于智能水表数据挖掘的校园漏损检测与维修规划,数据分析 | 异常检测 | 评价 | 0-1优化,水表拓扑 | 局部样条平滑预测 | 漏损率阈值 | 漏损分级 | 0-1维修规划,层级表计平衡对照 | 全国平均漏损率比较 | 水价与维修成本敏感性,利用校园分层水表识别计量误差与漏损，评定高风险表点，并在水损与维修成本之间安排每日维修。,宿舍、教学、办公、食堂的多类型大规模时序；一级/二级表有拓扑守恒关系，异常可能来自误差或真实漏水。,cases/case-075.md,2020/E040_2020全国大学生数学建模竞赛论文展示(E040)_[1699936].pdf
case-076,2021,A028,1734060,“FAST”主动反射面调节模型,几何建模 | 非线性优化 | 光线追迹 | 数值仿真,旋转抛物面几何 | 坐标旋转矩阵 | 节点迭代微调 | 加权接收比,促动器行程约束检验 | 均方根误差迭代收敛 | 调节前后接收比对照,在促动器径向行程受限、三角面板不能完美贴合抛物面的条件下，确定300 m工作口径的理想抛物面、节点调节量，并评价调节对馈源接收效率的改善。,主索节点与促动器的三维离散几何数据，叠加天体方位角/仰角和±0.6 m行程约束；输出既有连续曲面参数，也有逐节点坐标与伸缩量。,cases/case-076.md,2021/A028_2021高教社杯全国大学生数学建模竞赛A题论文展示(A028)_[1734060].pdf
case-077,2021,A115,1734062,基于目标优化的“FAST”主动反射面形状调节研究,几何建模 | 单目标优化 | 参数搜索 | 敏感性分析,旋转抛物面 | 变步长遍历搜索 | 坐标变换 | 面积比接收模型,约束可行性核验 | 参数敏感性分析 | 调节前后接收比对照,以相邻主索节点距离变化尽可能小为核心目标，在促动器行程与索网变形限制下确定FAST理想工作面和实际节点调节方案。,离散节点/促动器三维坐标与相邻关系；约束同时含±0.6 m促动器行程和相邻节点距离变化幅度，存在理想曲面与工程可实现曲面之间的冲突。,cases/case-077.md,2021/A115_2021高教社杯全国大学生数学建模竞赛A题论文展示(A115)_[1734062].pdf
case-078,2021,A217,1734066,"""FAST""工作抛物面的优化设计",机理建模 | 非线性约束优化 | 蒙特卡洛积分 | 光线追迹,旋转抛物面 | 非线性最小二乘 | BFGS | 蒙特卡洛积分,解析零点与数值优化求解 | 约束残差检验 | 调节前后接收比对照,由FAST聚焦机理确定理想抛物面，再在索长、相邻节点变形和促动器行程约束下求离散工作面，最后用逐光线判别估计有效接收面积。,连续300 m口径积分域与离散主索节点/三角面板并存；约束非线性且维数高，最终性能是一个0-1光线接收判别函数的面积积分。,cases/case-078.md,2021/A217_2021高教社杯全国大学生数学建模竞赛A题论文展示(A217)_[1734066].pdf
case-079,2021,B007,1734070,C4烯烃制备分析与试验设计,回归分析 | 降维/聚类 | 单目标优化 | 试验设计,非线性回归 | 偏最小二乘回归 | 方差分析 | 均匀设计,拟合优度R² | 残差平方和比较 | 交互作用方差分析 | 温度约束情景对照,从不规则催化实验数据中识别温度、催化剂配方和装料条件对转化率/选择性的影响，最大化C4烯烃收率并在仅5次新增实验下补充信息。,多催化剂组合、不同温度与少量时间观测；因变量为乙醇转化率和C4选择性，最终收率是二者乘积，因素间可能交互且试验设计不完全平衡。,cases/case-079.md,2021/B007_2021高教社杯全国大学生数学建模竞赛B题论文展示(B007)_[1734070].pdf
case-080,2021,B026,1734072,基于双因素方差分析的乙醇制备C4烯烃的研究,回归分析 | 双因素方差分析 | 响应面优化 | 试验设计,三次样条插值 | Logistic增长模型 | 双因素ANOVA | 五元二次响应面,多重比较检验 | 装料方式对照 | 约束情景对照 | 建议最优点实验验证,在补全稀疏温度观测后，分离温度和催化剂组合的影响，拟合收率响应面并确定常规/低温两种工况下的最优配方，最后规划验证性试验。,多组催化剂在少数温度点的实验数据，另有单组合随时间数据；配方由四个连续/离散因素和温度构成，设计不完全平衡。,cases/case-080.md,2021/B026_2021高教社杯全国大学生数学建模竞赛B题论文展示(B026)_[1734072].pdf
case-081,2021,B050,1734083,乙醇偶合制备C4烯烃的多元回归与神经网络模型,回归分析 | 降维 | 机器学习回归 | 试验设计,逐步回归 | 主成分分析 | BP神经网络 | 贝叶斯正则化,拟合函数分类比较 | 神经网络测试分析 | 不同光谱/条件情景对照 | 最优点验证实验设计,对多配方、多温度的催化反应建立可解释回归和非线性预测模型，寻找C4收率最优工艺，并选择5个兼顾全局探索与候选最优验证的实验点。,样本规模有限、配方变量需数值化，温度响应形态在不同组合间不一致；存在主效应、交互项和非线性映射，优化点靠近实验边界。,cases/case-081.md,2021/B050_2021高教社杯全国大学生数学建模竞赛B题论文展示(B050)_[1734083].pdf
case-082,2021,B160,1734074,乙醇制备C4烯烃催化剂组合的分析与设计,回归分析 | 正交试验分析 | 二次规划 | 试验设计,一元二次回归 | 逐步多项式回归 | 正交试验 | 二次规划,控制变量对照 | 因素交互作用比较 | 温度约束情景对照 | 补充实验建议,在考虑配方因素交互的前提下解释乙醇转化率与C4选择性，建立收率代理函数并求常规和低温条件的最优工艺。,21组配方的温度响应和单组时间序列；因素含Co负载、两种材料装料比、乙醇浓度与温度，主效应和交互作用并存。,cases/case-082.md,2021/B160_2021高教社杯全国大学生数学建模竞赛B题论文展示(B160)_[1734074].pdf
case-083,2021,C066,1734085,生产企业原材料订购与运输的评价与规划模型,综合评价 | 多目标规划 | 动态库存优化 | 运输分配,TOPSIS | 遗传算法 | 动态规划 | 运输规划,低质量供应商异常筛除 | 库存轨迹检验 | 损耗率估计 | 优化前后成本对照,先从402家供应商中识别可靠且重要的合作对象，再联合制定24周订购与运输方案，并在稳定生产、原料结构和产能提升三类目标之间做情景优化。,五年按周订货/供货和转运损耗数据，供应商存在低履约、波动和异质材料类型；订购、库存、运输容量与产能跨周耦合。,cases/case-083.md,2021/C066_2021高教社杯全国大学生数学建模竞赛C题论文展示(C066)_[1734085].pdf
case-084,2021,C085,1734093,基于双层和随机规划的原材料订购与运输问题,综合评价 | 双层随机规划 | 动态规划 | 随机整数规划,熵权-TOPSIS | 离散化贪心 | 0-1背包 | 二分答案,采购成本历史基准对照 | 期望损耗情景比较 | 产能规则可行性检验,在供货呈周期、突变及部分泊松特性的条件下，同时解决供应商评价、最少合作商选择、随机订购—运输协同、原料结构偏好和最大可持续产能。,402家供应商与8家转运商的周度历史，供应量随机且可能季节性；未来24周含整数选择、跨期库存和运输容量，目标存在上下层业务顺序。,cases/case-084.md,2021/C085_2021高教社杯全国大学生数学建模竞赛C题论文展示(C085)_[1734093].pdf
case-085,2021,C169,1734095,基于优化算法的企业原材料订购与运输规划模型,投影寻踪评价 | 整数规划 | 多目标优化 | 供应链规划,投影寻踪 | 加速遗传算法 | 0-1整数规划 | 多目标粒子群,供给—库存—产能可行性核验 | 成本与损耗指标报告 | 方案前后材料占比对照,以数据驱动权重评价供应商，随后用精确规划构造低成本低损耗基线，再用多目标粒子群调整原料结构并测算运输瓶颈下的产能上限。,402家供应商的8个能力/履约/材料成本指标，24周采购库存与8家转运商容量；既含二元选择也含连续订购运输量。,cases/case-085.md,2021/C169_2021高教社杯全国大学生数学建模竞赛C题论文展示(C169)_[1734095].pdf
case-086,2021,C283,1734097,双目标贪心优化下的企业原料订购运输方案,组合赋权评价 | 库存模型 | 双目标贪心优化 | 动态产能规划,熵权-AHP | 经济订货存贮模型 | 双层贪心 | 随机参数仿真,AHP一致性检验 | 四种关键式方案对照 | 成本损耗统计 | 动态/静态产能情景比较,对供应商可靠性做客观—主观组合赋权，按平稳型/周期型供应模式构建采购—转运—存储双目标策略，并形成可随当前状态演化的产能提升方案。,从402家中清洗到176家有效商，9个可靠性指标；供应商时间模式异质，采购、转运、库存和产能动态耦合，并显式引入随机供货参数。,cases/case-086.md,2021/C283_2021高教社杯全国大学生数学建模竞赛C题论文展示(C283)_[1734097].pdf
case-087,2021,D017,1734101,连铸切割的在线优化模型,整数线性规划 | 序贯多目标优化 | 在线重规划 | 误差度量,整线性规划 | 平均绝对偏差 | 分情景在线调整 | 解析损失函数,零损失充要条件证明 | 多尾坯情景枚举 | 异常窗口实时方案对照 | 不同用户目标值复算,在离散可切长度和用户目标区间下，按‘先最小尾坯损失、再尽量贴近用户目标’的词典序确定切割方案，并在结晶器异常产生报废段时实时重规划。,尾坯长度连续但按0.1 m工艺精度离散为4.8–12.6 m共79种规格；异常报废段随时间出现，在线决策需衔接已切钢坯与剩余长度。,cases/case-087.md,2021/D017_2021高教社杯全国大学生数学建模竞赛D题论文展示(D017)_[1734101].pdf
case-088,2021,D026,1734105,连铸切割的在线优化,多目标规划 | 序贯优化 | 在线切割 | 情景分析,词典序多目标规划 | 异常窗口回溯 | MATLAB整数求解,12种尾坯长度复算 | 两种初始方案对照 | 多用户目标参数复用,按切割损失、目标长度9.5 m根数、9.0–10.0 m范围根数的严格优先级求解正常切割，并对连续异常窗口设计可调整的实时方案。,正常钢坯、0.8 m报废段和前序60/64 m钢坯组合成多段长度状态；目标值和允许范围变化，方案需在窗口间继承。,cases/case-088.md,2021/D026_2021高教社杯全国大学生数学建模竞赛D题论文展示(D026)_[1734105].pdf
case-089,2021,D034,1734107,连铸切割的在线优化,构造算法 | 在线切割 | 分情况讨论 | 参数化求解,长度守恒规则 | 最小损失构造 | 异常段局部调整 | C++枚举,手算示例核验 | 程序枚举输出 | 不同目标范围复用 | 优缺点自评,不用通用求解器黑箱，而是从尾坯长度与用户目标区间的算术关系出发构造最小损失切割流程，并扩展到报废段连续到达的在线情形。,钢坯总长、可切目标区间和报废段长度均具有强离散算术结构；异常把钢坯分为报废段左右两部分，需局部拼接和调整。,cases/case-089.md,2021/D034_2021高教社杯全国大学生数学建模竞赛D题论文展示(D034)_[1734107].pdf
case-090,2021,E014,1734099,基于机器学习的中药材类别与产地鉴别,光谱预处理 | 降维/聚类 | 监督分类 | 分层识别,Savitzky-Golay与SNV | PCA | LDA/KNN/决策树/朴素贝叶斯 | K-means,多分类器横向比较 | 准确率与F分数 | 近红外/中红外/融合特征对照 | 分层识别前后对照,在高维、基线漂移且波段重叠的红外光谱上，构建药材类别与产地的完整识别流水线，并判断预处理、光谱来源和分层策略如何影响泛化性能。,中红外与近红外光谱维数高、相邻波长强相关，样本类别/产地可能不平衡；同类药材的产地区分弱于不同类别区分。,cases/case-090.md,2021/E014_2021高教社杯全国大学生数学建模竞赛E题论文展示(E014)_[1734099].pdf
case-091,2021,E025,1734196,中药材的鉴别,高维分类 | 特征工程 | 集成学习 | 智能优化,PCA/分波段特征 | LightGBM/XGBoost/SVM/RF/GBDT/MLP | 鲸鱼优化 | 两阶段分类,交叉验证 | 四项分类指标 | 六模型比较 | 不同波段特征集对照,从原始光谱、PCA和分波段统计中选择可迁移特征，比较六类机器学习模型，并用智能优化调LightGBM完成药材类别与产地的两阶段识别。,原始光谱高维且近/中红外提供互补信息；类别、产地和波段三层结构并存，需避免特征维数远超样本数。,cases/case-091.md,2021/E025_2021高教社杯全国大学生数学建模竞赛E题论文展示(E025)_[1734196].pdf
case-092,2021,E037,1734230,基于红外光谱法的中药材鉴别,异常检测 | 非线性降维 | 聚类 | 支持向量分类,极差筛波段 | Isomap/LLE | K-means | SVM,轮廓系数选K | 线性/非线性降维对照 | 训练测试准确率 | 多光谱结果一致性比较,通过异常剔除和低差异波段筛选降低光谱维数，比较非线性流形降维与线性方法，再用聚类和SVM识别药材类别、产地。,中红外3348维、另有近红外5997维；存在3个异常样本，大量波段区分度小，近/中红外对不同产地的判别能力互补。,cases/case-092.md,2021/E037_2021高教社杯全国大学生数学建模竞赛E题论文展示(E037)_[1734230].pdf
